Name,Rating,Review Content
David,5.0,This is an amazing machine it does everything I need it to do. Cleans my dentures perfectly. Great value. Awesome durability and the appearance is great for my bathroom.
Al ka,5.0,Very good product! Perfect for price and function
Jen,5.0,Easy to set up and use. The instructions are fairly straightforward even if the English syntax isnt perfect. They get the point across. Nice little unit.
Christine R,1.0,"Bought 1, it didn't work. Amazon replaced it. 2nd one didn't work."
Gabrielle,5.0,It works amazing. Definitely a good purchase
Donna M,5.0,Great machine at great price!
Griffette,5.0,We have only had the product about a week but it seems okay so far. The retainers are brand new so time will tell. It does make a high pitch noise but they say in the instructions that it's to be expected. It has three options: 1. Three minutes 2. Five minutes 3. Ten minutes. It also has UV lights.
Greisy,5.0,"I wear a retainer every night, and no matter how much I brushed it, it never felt completely clean. I decided to try this ultrasonic cleaner, and I’m honestly so impressed. After the first use, I could actually see the difference in the water — and my retainer looked and felt so much fresher. It’s very easy to use, quiet, and doesn’t take much time at all. Now it’s part of my daily routine, and I feel so much better knowing my retainer is truly clean. I wish I had bought this sooner. Definitely worth it!"
Chad Mosley,5.0,"After years of brushing my retainers I got this electric cleaner. It works well, takes up little space and is very quiet. It cleans much better than my brushing with soap and water. I use an Efferdent tablet with each cleaning for better cleaning and freshness. I would recommend this unit to others."
Tat,5.0,"I’m absolutely thrilled with this ultrasonic cleaner! It’s been a game-changer for cleaning my children’s retainers and my jewelry. The retainers come out sparkling clean every time, and it’s so easy to use—just set them in, start the machine, and just in 5 minutes, they’re spotless. As for my jewelry, it looks brand new! It’s compact, quiet, and incredibly efficient. I highly recommend this cleaner for anyone looking to keep their retainers and jewelry in top condition with minimal effort!"
M. J.,4.0,"I chose this cleaner at the advice of our orthodontist for cleaning my child’s Invisalign trays and retainers. The Exluvon Ultrasonic cleaner is super easy to use and cleans the retainers quickly and thoroughly. Adding a cleaning tablet makes the process even better. It’s also easy to clean the unit chamber itself by rinsing with water and wiping with a paper towel if needed. It’s not very loud at all either which is a welcome surprise. Compared with other options, I’d buy this again since it works well and is very affordable."
t huff,5.0,"I purchased the Exluvon ultrasonic retainer cleaner for my daughter. We have been using it for over a month now and are very satisfied with it. It does a very good job at removing the haze and buildup on the retainers and leaves them sparkling clean. I have used it with just plain water on some jewelry and it did make a difference on a gold and diamond ring and on silver tarnish on a necklace, but it would probably be most effective to ad jewelry cleaner for heavy tarnish. Overall the ultrasonic cleaner is a great value for the price compared to other brands . It feels like a quality made product."
Khalid Aun,5.0,"This is a must have for anyone with retainers!! It's really simple to use you just pour the water in, put your retainers inside, add a cleaning agent if you'd like, close it then plug it in. It takes only about five minutes and they come out super clean. The water vibrates inside and it gets into all the crevices and corners. It even comes with some tongs to use to take stuff out. The best part is you can use it to clean just about anythjng not only retainers. Overall it's a great buy, simple, efficient, and quick, five stars!!!"
Angels Are Real,5.0,My 3 teenaged children and I all wear retainers at night. This little pod cleaned our retainers so well. Mine was cleaner looking than when I received it from the company brand new! It’s so easy to use that I know even my busy college students can find the time to sanitize their retainers so they get less cavities and bacteria in their mouths. We only get one set of teeth and putting a dirty retainer in your mouth for 8+ hours will wreak havoc on your mouth. This little pod is easy and quiet (I’d say it’s a quick ticking sound if I had to define the sound it makes.). And it’s a good price - it seems like it will last 5+ years easily. And only takes 5 minutes to clean the retainers.
Nikki Simões,3.0,"Worked well for 6 months, and now the ultrasonic waves have weakened and stopped completely."
Amazon Customer,5.0,thought that this was a cheaper alternative that was going to break in like 2 months.. i was so wrong! still going strong after 1 year and i use it every night!
Ruhat,5.0,"Das Gerät ist klein und kann überall mitgenommen werden da es mit einem USB C Kabel aufgeladen werden kann . Es reinigt zudem gut und eignet sich gut für kleine Gegenstände wie Schmuck, Münzen, Brillen, Zahnersatz."
SD4,5.0,"Does a great job at cleaing my retainer. Saved me the trouble of getting a new one made with my dentist. Easy to use, small enough to store."
Honest reviews,5.0,"Click to play video The 'description' on this item gave no clue as to what it was, the picture wasn't much help. I hoped it might be an ultrasonic cleaner and it is - happy days! I had small items that needed cleaning and they would have fallen through the gaps in the basket. I found some plastic mesh that I had made fly screens from and lined the basket with that and it worked perfectly. I put my earrings through 2 x 5 minutes cycles (almost exactly 5 minutes each when I ran it). I only cleaned one of the pair to be able to see if there was a difference .... and there definitely is! This was with water only. I ran all of my jewellery thorough another few cycles and everything is wonderfully clean. Read more"
Sk,5.0,"Easy to use and effective too. I use this for my mouth guard, my whitening shields from the dentist and for my jewellery. Brings items up gleaming in a short time. Thank you!"
